"ano";"UF";"sexo";"idade";"cor";"mae_viva";"reg_nascimento";"UF_nasc";"alfabetizado";"anos_estudo";"renda_total"
2005;"BA";"homem";9;"branca";1;1;;1;2;
2005;"PI";"mulher";14;"parda";1;1;"CE";1;6;0
2005;"RJ";"mulher";2;"branca";1;1;;0;0;
2005;"GO";"mulher";9;"preta";1;1;;1;3;
2005;"DF";"mulher";39;"branca";1;1;"MG";1;4;700
2005;"CE";"mulher";49;"parda";0;1;;0;0;0
2005;"MG";"homem";15;"parda";1;1;;1;8;0
2005;"BA";"homem";12;"parda";1;1;;1;3;0
2005;"SP";"mulher";51;"preta";1;1;;1;15;1450
2005;"PE";"mulher";5;"branca";1;1;;0;0;
2005;"MG";"mulher";48;"parda";1;1;;0;0;0
2005;"CE";"homem";13;"parda";1;1;;1;3;0
2005;"BA";"homem";58;"branca";1;1;;1;0;300
2005;"SP";"mulher";46;"branca";1;1;;1;15;20000
2005;"MG";"mulher";14;"parda";1;1;"SP";1;6;0
2005;"PA";"mulher";49;"parda";1;1;;1;5;540
2005;"PR";"mulher";8;"branca";1;1;;1;1;
2005;"BA";"mulher";25;"parda";1;1;;0;0;350
2005;"DF";"homem";45;"branca";1;1;"PB";1;4;1200
2005;"PE";"homem";27;"parda";1;1;;1;3;0
2005;"RS";"mulher";5;"branca";1;1;;0;0;
2005;"PA";"homem";2;"parda";1;1;;0;0;
2005;"RS";"homem";33;"branca";1;1;;1;5;827
2005;"MG";"mulher";0;"parda";1;1;;0;0;
2005;"PA";"mulher";64;"parda";0;1;;1;2;300
2005;"AL";"mulher";67;"branca";0;1;;0;0;300
2005;"RS";"homem";70;"parda";0;1;;1;5;700
2005;"PE";"homem";37;"parda";1;1;;0;1;280
2005;"RJ";"mulher";1;"branca";1;1;;0;0;
2005;"RS";"mulher";8;"branca";1;1;;1;1;
2005;"PA";"homem";40;"branca";0;1;;1;15;2875
2005;"SP";"homem";26;"branca";1;1;;1;4;750
2005;"SP";"homem";23;"parda";1;1;;1;11;600
2005;"MG";"mulher";17;"parda";1;1;;1;7;150
2005;"BA";"homem";3;"parda";1;1;;0;0;
2005;"ES";"mulher";26;"parda";1;1;;1;0;0
2005;"MS";"mulher";10;"branca";1;1;;1;4;0
2005;"RN";"mulher";66;"parda";0;1;;0;0;300
2005;"CE";"homem";45;"parda";1;1;;1;8;500
2005;"BA";"mulher";4;"parda";1;1;;0;0;
2005;"AL";"mulher";11;"parda";1;1;;1;5;0
2005;"RS";"mulher";64;"branca";0;1;;1;5;750
2005;"CE";"mulher";4;"parda";1;1;;0;0;
2005;"MG";"mulher";2;"branca";1;1;;0;0;
2005;"BA";"mulher";68;"parda";0;1;;1;3;350
2005;"ES";"mulher";38;"preta";1;1;;1;6;0
2005;"SP";"mulher";9;"parda";1;1;;1;2;
2005;"DF";"mulher";52;"branca";0;1;"PE";1;15;4000
2005;"RN";"homem";55;"parda";1;1;"PB";1;11;550
2005;"RN";"homem";51;"parda";1;1;;1;8;500
2005;"SC";"homem";26;"branca";1;1;"PR";1;8;450
2005;"RS";"homem";11;"branca";1;1;;1;4;0
2005;"AP";"homem";6;"branca";1;1;;1;0;
2005;"GO";"mulher";36;"branca";1;1;;0;0;0
2005;"MA";"homem";26;"parda";1;1;;1;10;150
2005;"MA";"homem";0;"parda";1;1;;0;0;
2005;"MS";"homem";19;"branca";1;1;;1;8;450
2005;"MG";"mulher";7;"branca";1;1;;1;0;
2005;"PI";"mulher";6;"parda";1;1;;0;0;
2005;"AL";"mulher";26;"parda";1;1;;1;5;65
2005;"SP";"mulher";46;"branca";1;1;"PR";1;2;550
2005;"PE";"homem";34;"parda";1;1;;1;6;400
2005;"SE";"homem";1;"branca";1;1;;0;0;
2005;"MA";"homem";20;"parda";1;1;;1;6;0
2005;"SP";"mulher";30;"parda";1;1;;1;4;600
2005;"CE";"mulher";5;"branca";1;1;"RS";0;0;
2005;"GO";"homem";1;"branca";1;1;;0;0;
2005;"MT";"homem";52;"preta";0;1;"SP";1;11;4500
2005;"GO";"mulher";43;"branca";1;1;"BA";1;3;270
2005;"SP";"mulher";31;"parda";1;1;;1;11;400
2005;"BA";"homem";35;"parda";1;1;;1;8;500
